"name","category","component_url","copied_link","thumbnail_url","thumbnail_file","status"
"3D Magnetic element · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-magnetic-element/","https://framer.com/m/MagneticWrapper-ZawL.js@tT6VH76k9aAgMHL1PYvn","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/2mryWQW4fpvd3WkYYK52/3d-magnetic-element-RE109TOSH3X0bx6ZMi59mO5AsFhYGV","output/thumbnails/3d-magnetic-element.png","Copied component [paste]"
"3D Magnetic UI Kit · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-magnetic-ui-kit/","https://framer.com/m/Magnetic-UI-Kit-1MYH2O.js@Pewr2dMQDujhdV7fyBL9","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/T9XotrfAr3csFoSGRjXg/3d-magnetic-ui-kit-P6MDvsPuqlx9ktvPDvUgT4jrwL70u3","output/thumbnails/3d-magnetic-ui-kit.png","Copied component [paste]"
"3D Mosaic Hover Grid · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-mosaic-hover-grid/","https://framer.com/m/MosaicHoverGrid3D-SOStUs.js@nM19zI9qIiT6ihlnP1ah","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/P02NRHF1rZQp49LNpHHG/3d-mosaic-hover-grid-1gqKbeBLIWbBnjGhmpqIfundAx4gQn","output/thumbnails/3d-mosaic-hover-grid.png","Copied component [paste]"
"3D Music Carousel · An interactive 3D music Carousel","Categories","https://www.framer.com/community/marketplace/components/3d-music-carousel/","https://framer.com/m/MusicCarousel-q89lYD.js@ww1SSlVzqWcamnoMMu2T","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/L3FpY2p1c4dvNIiGgRSL/3d-music-carousel-UkOtpP79uVIrGgk74EFI9nv25nMUHq","output/thumbnails/3d-music-carousel.png","Copied component [paste]"
"3D Neumorphic Toggle · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-neumorphic-toggle/","https://framer.com/m/3D-Neumorphic-Toggle-QLGM.js@29IGssPNL76di4mhRpyE","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/HU4d8k8EG1Qv6ll6gsZU/3d-neumorphic-toggle-ABC2u2FOdVqOWcvpPJ5eg3VWebLbGg","output/thumbnails/3d-neumorphic-toggle.jpg","Copied component [paste]"
"3D Orbit Image · Interactive 3D orbit","Categories","https://www.framer.com/community/marketplace/components/3d-orbit-image/","https://framer.com/m/Orbit-Carousel-PJs1Cf.js@pT1c5CGP7GwZVCPtVaq9","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/media/630cca6b-27ff-4749-89c4-08ece5b6d52e/8ws1tbw6","output/thumbnails/3d-orbit-image.jpg","Copied component [paste]"
"3D Parallax Cards · Free Layout Component","Categories","https://www.framer.com/community/marketplace/components/3d-parallax-cards/","https://framer.com/m/ParallaxCardGrid-Mrje.js@RFfRIZKVXJTXviHXdsog","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/DhN1JkoTGHDfcId7fOrV/3d-parallax-cards-lBObtxLhE9vuboHje1V1FoOSaG3vbo","output/thumbnails/3d-parallax-cards.png","Copied component [paste]"
"3D Parallax Sharing · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-parallax-sharing/","https://framer.com/m/Social-Sharing-EN-CQBY0K.js@kl5ARcMZsTHKrOMlPI4o","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/tqvmsafDDsxpVggUMsZ3/3d-parallax-sharing-NTOefHRVRh6eimmRn1KaapCyJI82NR","output/thumbnails/3d-parallax-sharing.png","Copied component [paste]"
"3D Pill Carousel · Layered pill image carousel","Categories","https://www.framer.com/community/marketplace/components/3d-pill-carousel/","https://framer.com/m/PillCarousel-Z6qwgL.js@HrqoC1NNBVJtv6kXuC7o","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/6114PLzOlVlzT4hmPbpR/3d-pill-carousel-ol92NGIQjYhq2fhwQuHHlnCeyEFCaF","output/thumbnails/3d-pill-carousel.jpg","Copied component [paste]"
"3D Popup hover · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-popup-hover/","https://framer.com/m/3D-hover-MqZ9.js@ZFIzzWF6VHjLGUm8NcxV","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/4d7ES2nKvWANX32qqyjm/3d-popup-hover-TRXweM5Cu7HKdSyLOYJpxq6hvX4nNm","output/thumbnails/3d-popup-hover.png","Copied component [paste]"
